 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z999999-0001;Ajuste de costos;GLB;;;0;SERVICIOS;;SIN CONTROL;NO;NO;;Activo;edison espinosa;06/10/2020 09:30 AM
;false;Z813126-0001;Honorarios De Interventoria Y Controles;MES;;CO_IVA_0%;0;SERVICIOS;SERV_HONORARIO_CONSULTORI;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z813123-0001;Sub. Reconocimiento por Tiempo Adicional en Obra;GLB;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z813111-0002;Gastos Financieros;GLB;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/23/2019 11:13 AM
;false;Z813111-0001;Gastos Bancarios C.I;GLB;;CO_IVA_0%;0;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z812100-0001;Seleccion De Personal;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;GASTOS GENERALES DE OBRA;SIN CONTROL;SI;SI;;Activo;edison espinosa;03/24/2023 04:10 PM
;false;Z811117-0001;Permiso Para Tala De Arboles;GLB;;CO_IVA_0%;0;SERVICIOS;SERV_HONORARIO_CONSULTORI;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z553600-0005;Postventas Bodega Tipo F;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z553600-0004;Posventas Bodega Tipo E;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z553600-0003;Posventas Bodega Tipo D;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z553600-0002;Posventas Bodega Tipo C;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z553600-0001;Postventas Bodega Tipo B;M2;;CO_IVA_0%;0;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z552421-0002;Sub. Asesoria de Instalacion Redes de Seguridad;UN;;CO_IVA_0%;0;SERVICIOS;SEGURIDAD INDUSTRIAL;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552421-0001;Sub. Mantenimiento de Mordazas;UN;;CO_IVA_0%;0;SERVICIOS;SEGURIDAD INDUSTRIAL;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552414-0004;Conexion de gas;GLB;;CO_IVA_0%;0;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552414-0003;Medidores Gas Para Medidas Internas De Locales;UN;;CO_IVA_0%;0;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552414-0002;Conexion Hidraulica;GLB;;CO_IVA_0%;0;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552414-0001;Conexion Energia (Solo La Maniobra);GLB;;CO_IVA_0%;0;SERVICIOS;OBRA;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z552400-0001;Postventas oficinas;UN;;CO_IVA_0%;0;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;02/20/2020 02:24 PM
;false;Z551417-0001;Arrendamiento Lote o Predio;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;COSTOS INDIRECTOS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/18/2019 01:16 PM
;false;Z551411-0001;Reembolsables de ventas;GLB;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;COSTOS INDIRECTOS;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0156;Sub. Construccion De Via Tipo V-6;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRA;SIN CONTROL;SI;SI;;Activo;edison espinosa;06/23/2021 01:30 PM
